image_id,technique,category,fcr_Arya,scs_Arya,wr_Arya,roa_Arya,orr_Arya,wqs_Arya,fcr_Aaryaman,scs_Aaryaman,wr_Aaryaman,roa_Aaryaman,orr_Aaryaman,wqs_Aaryaman,fcr_avg,scs_avg,wr_avg,roa_avg,orr_avg,wqs_avg
simple_1,zero_shot,simple,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,,0.0,1.0
simple_1,cot,simple,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
simple_1,guided_cot,simple,1.0,1.0,1.0,1.0,0.1667,0.8333,1.0,1.0,0.75,1.0,0.1667,0.7708,1.0,1.0,0.875,1.0,0.1667,0.80205
simple_1,tot,simple,1.0,0.5,0.25,0.5,0.1111,0.3778,1.0,0.75,0.5,0.5,0.1111,0.5222,1.0,0.625,0.375,0.5,0.1111,0.45
simple_1,got,simple,1.0,1.0,0.75,1.0,0.1667,0.7708,1.0,1.0,1.0,1.0,0.1667,0.8333,1.0,1.0,0.875,1.0,0.1667,0.80205
medium_1,zero_shot,medium,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,,0.0,1.0
medium_1,cot,medium,1.0,1.0,1.0,0.75,0.0,0.9125,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.875,0.0,0.95625
medium_1,guided_cot,medium,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
medium_1,tot,medium,1.0,0.75,0.25,0.5,0.0,0.5125,1.0,1.0,0.5,0.0,0.0,0.5,1.0,0.875,0.375,0.25,0.0,0.50625
medium_1,got,medium,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
hard_1,zero_shot,hard,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,,0.0,1.0
hard_1,cot,hard,1.0,0.75,0.75,0.5,0.0,0.6625,1.0,1.0,1.0,0.75,0.0,0.9125,1.0,0.875,0.875,0.625,0.0,0.7875
hard_1,guided_cot,hard,1.0,1.0,0.75,1.0,0.0,0.925,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.875,1.0,0.0,0.9625
hard_1,tot,hard,1.0,0.75,0.75,0.75,0.1429,0.6428,1.0,1.0,0.75,0.75,0.1429,0.7178,1.0,0.875,0.75,0.75,0.1429,0.6803
hard_1,got,hard,1.0,0.75,0.75,1.0,0.1429,0.7178,1.0,0.5,0.5,1.0,0.1429,0.5785,1.0,0.625,0.625,1.0,0.1429,0.64815
simple_2,zero_shot,simple,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,,0.0,1.0
simple_2,cot,simple,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
simple_2,guided_cot,simple,1.0,1.0,0.75,1.0,0.1667,0.7708,1.0,1.0,0.75,0.75,0.1667,0.6979,1.0,1.0,0.75,0.875,0.1667,0.7343500000000001
simple_2,tot,simple,1.0,1.0,0.75,1.0,0.1667,0.7708,1.0,1.0,1.0,1.0,0.1667,0.8333,1.0,1.0,0.875,1.0,0.1667,0.80205
simple_2,got,simple,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
medium_2,zero_shot,medium,1.0,0.5,0.25,,0.0,0.375,1.0,0.75,0.0,,0.0,0.375,1.0,0.625,0.125,,0.0,0.375
medium_2,cot,medium,1.0,0.75,0.25,0.5,0.0,0.5125,1.0,1.0,0.5,0.5,0.0,0.675,1.0,0.875,0.375,0.5,0.0,0.59375
medium_2,guided_cot,medium,1.0,1.0,0.75,0.75,0.0,0.8375,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.875,0.875,0.0,0.91875
medium_2,tot,medium,0.8889,,,,,0.0,0.8889,,,,,0.0,0.8889,,,,,0.0
medium_2,got,medium,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
hard_2,zero_shot,hard,1.0,0.75,0.25,,0.0,0.5,1.0,1.0,0.25,,0.0,0.625,1.0,0.875,0.25,,0.0,0.5625
hard_2,cot,hard,1.0,0.75,0.5,0.5,0.0,0.5875,1.0,1.0,0.5,0.75,0.0,0.7625,1.0,0.875,0.5,0.625,0.0,0.675
hard_2,guided_cot,hard,1.0,1.0,0.5,0.5,0.2,0.54,1.0,1.0,0.75,1.0,0.1,0.8325,1.0,1.0,0.625,0.75,0.15000000000000002,0.68625
hard_2,tot,hard,1.0,0.75,0.75,0.75,0.1,0.675,1.0,1.0,0.75,0.75,0.1,0.7537,1.0,0.875,0.75,0.75,0.1,0.71435
hard_2,got,hard,1.0,1.0,0.75,1.0,0.0,0.925,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.875,1.0,0.0,0.9625
simple_3,zero_shot,simple,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,,0.2,0.8,1.0,1.0,1.0,,0.1,0.9
simple_3,cot,simple,1.0,1.0,0.75,0.75,0.1667,0.6979,1.0,1.0,1.0,0.75,0.1667,0.7604,1.0,1.0,0.875,0.75,0.1667,0.72915
simple_3,guided_cot,simple,1.0,1.0,0.75,1.0,0.1429,0.7928,1.0,1.0,1.0,0.5,0.1429,0.7071,1.0,1.0,0.875,0.75,0.1429,0.7499499999999999
simple_3,tot,simple,1.0,1.0,0.5,0.75,0.2857,0.5447,1.0,1.0,0.5,0.75,0.2857,0.5447,1.0,1.0,0.5,0.75,0.2857,0.5447
simple_3,got,simple,1.0,1.0,0.75,1.0,0.1667,0.7708,1.0,1.0,0.75,1.0,0.1667,0.7708,1.0,1.0,0.75,1.0,0.1667,0.7708
medium_3,zero_shot,medium,1.0,0.0,0.25,,0.1,0.1125,1.0,0.0,0.0,,0.1,0.0,1.0,0.0,0.125,,0.1,0.05625
medium_3,cot,medium,1.0,0.5,0.5,0.75,0.1,0.5287,1.0,0.5,0.5,0.25,0.1,0.3712,1.0,0.5,0.5,0.5,0.1,0.44994999999999996
medium_3,guided_cot,medium,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
medium_3,tot,medium,1.0,1.0,1.0,0.75,0.0,0.9125,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.875,0.0,0.95625
medium_3,got,medium,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
hard_3,zero_shot,hard,1.0,0.0,0.0,,0.3333,0.0,1.0,0.0,0.0,,0.2857,0.0,1.0,0.0,0.0,,0.3095,0.0
hard_3,cot,hard,1.0,0.0,0.0,0.0,0.2857,0.0,1.0,0.0,0.0,0.0,0.1429,0.0,1.0,0.0,0.0,0.0,0.2143,0.0
hard_3,guided_cot,hard,1.0,1.0,1.0,0.75,0.0,0.9125,1.0,1.0,1.0,0.5,0.0,0.825,1.0,1.0,1.0,0.625,0.0,0.8687499999999999
hard_3,tot,hard,1.0,1.0,0.75,0.75,0.2222,0.6514,1.0,1.0,0.75,1.0,0.2222,0.7195,1.0,1.0,0.75,0.875,0.2222,0.68545
hard_3,got,hard,1.0,1.0,0.75,1.0,0.0,0.925,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.875,1.0,0.0,0.9625
simple_4,zero_shot,simple,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,,0.0,1.0
simple_4,cot,simple,1.0,1.0,0.75,1.0,0.125,0.8094,1.0,1.0,0.75,1.0,0.125,0.8094,1.0,1.0,0.75,1.0,0.125,0.8094
simple_4,guided_cot,simple,1.0,1.0,0.75,1.0,0.1667,0.7708,1.0,1.0,0.5,1.0,0.0,0.85,1.0,1.0,0.625,1.0,0.08335,0.8104
simple_4,tot,simple,1.0,1.0,0.75,1.0,0.1667,0.7708,1.0,1.0,1.0,1.0,0.1667,0.8333,1.0,1.0,0.875,1.0,0.1667,0.80205
simple_4,got,simple,1.0,1.0,0.75,1.0,0.1429,0.7928,1.0,1.0,1.0,1.0,0.1429,0.8571,1.0,1.0,0.875,1.0,0.1429,0.82495
hard_4,zero_shot,hard,0.8889,,,,,0.0,0.8889,,,,,0.0,0.8889,,,,,0.0
hard_4,cot,hard,1.0,0.5,0.5,0.75,0.0,0.5875,1.0,0.25,0.5,0.25,0.0,0.325,1.0,0.375,0.5,0.5,0.0,0.45625000000000004
hard_4,guided_cot,hard,1.0,1.0,0.75,1.0,0.0,0.925,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.875,1.0,0.0,0.9625
hard_4,tot,hard,0.8889,,,,,0.0,0.8889,,,,,0.0,0.8889,,,,,0.0
hard_4,got,hard,1.0,1.0,1.0,0.75,0.0,0.9125,1.0,1.0,1.0,0.5,0.0,0.825,1.0,1.0,1.0,0.625,0.0,0.8687499999999999
simple_5,zero_shot,simple,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,,0.0,1.0
simple_5,cot,simple,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
simple_5,guided_cot,simple,1.0,1.0,0.75,0.75,0.1429,0.7178,1.0,1.0,0.5,0.5,0.1429,0.5785,1.0,1.0,0.625,0.625,0.1429,0.64815
simple_5,tot,simple,1.0,0.75,0.5,0.75,0.125,0.5906,1.0,0.75,0.75,1.0,0.0,0.8375,1.0,0.75,0.625,0.875,0.0625,0.7140500000000001
simple_5,got,simple,1.0,1.0,0.75,1.0,0.1667,0.7708,1.0,1.0,1.0,1.0,0.1667,0.8333,1.0,1.0,0.875,1.0,0.1667,0.80205
medium_5,zero_shot,medium,1.0,1.0,0.25,,0.0,0.625,1.0,1.0,0.25,,0.0,0.625,1.0,1.0,0.25,,0.0,0.625
medium_5,cot,medium,1.0,1.0,1.0,0.75,0.0,0.9125,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.875,0.0,0.95625
medium_5,guided_cot,medium,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
medium_5,tot,medium,1.0,1.0,0.75,1.0,0.0,0.925,1.0,1.0,0.75,1.0,0.0,0.925,1.0,1.0,0.75,1.0,0.0,0.925
medium_5,got,medium,1.0,0.5,0.5,0.75,0.0,0.5875,1.0,0.5,0.5,1.0,0.0,0.675,1.0,0.5,0.5,0.875,0.0,0.6312500000000001
hard_5,zero_shot,hard,1.0,0.5,0.5,,0.0,0.5,1.0,0.5,0.0,,0.0,0.25,1.0,0.5,0.25,,0.0,0.375
hard_5,cot,hard,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
hard_5,guided_cot,hard,1.0,1.0,0.75,0.75,0.0,0.8375,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.875,0.875,0.0,0.91875
hard_5,tot,hard,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
hard_5,got,hard,1.0,0.5,0.5,0.75,0.0,0.5875,1.0,0.75,1.0,1.0,0.0,0.9125,1.0,0.625,0.75,0.875,0.0,0.75
medium_4,zero_shot,medium,1.0,1.0,0.75,,0.0,0.875,1.0,1.0,0.75,,0.0,0.875,1.0,1.0,0.75,,0.0,0.875
medium_4,cot,medium,1.0,0.5,0.5,0.75,0.1,0.5287,1.0,0.5,0.25,0.5,0.1,0.3825,1.0,0.5,0.375,0.625,0.1,0.4556
medium_4,guided_cot,medium,1.0,0.5,0.0,0.5,0.0,0.35,1.0,1.0,0.0,0.75,0.0,0.6125,1.0,0.75,0.0,0.625,0.0,0.48125
medium_4,tot,medium,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
medium_4,got,medium,1.0,1.0,0.5,1.0,0.0,0.85,1.0,1.0,0.75,0.75,0.0,0.8375,1.0,1.0,0.625,0.875,0.0,0.84375
