image_id,technique,metric,Arya,Aaryaman,diff
medium_1,tot,ROA,0.5,0.0,0.5
hard_2,guided_cot,ROA,0.5,1.0,0.5
simple_3,guided_cot,ROA,1.0,0.5,0.5
medium_3,cot,ROA,0.75,0.25,0.5
hard_4,cot,ROA,0.75,0.25,0.5
medium_4,guided_cot,SCS,0.5,1.0,0.5
hard_5,zero_shot,WR,0.5,0.0,0.5
hard_5,got,WR,0.5,1.0,0.5
hard_5,got,WQS,0.5875,0.9125,0.32499999999999996
hard_2,guided_cot,WQS,0.54,0.8325,0.2925
medium_4,guided_cot,WQS,0.35,0.6125,0.26250000000000007
hard_4,cot,WQS,0.5875,0.325,0.2625
medium_1,cot,ROA,0.75,1.0,0.25
hard_1,cot,ROA,0.5,0.75,0.25
simple_2,guided_cot,ROA,1.0,0.75,0.25
medium_2,guided_cot,ROA,0.75,1.0,0.25
hard_2,cot,ROA,0.5,0.75,0.25
medium_3,tot,ROA,0.75,1.0,0.25
hard_3,guided_cot,ROA,0.75,0.5,0.25
hard_3,tot,ROA,0.75,1.0,0.25
hard_4,got,ROA,0.75,0.5,0.25
simple_5,guided_cot,ROA,0.75,0.5,0.25
simple_5,tot,ROA,0.75,1.0,0.25
medium_5,cot,ROA,0.75,1.0,0.25
medium_5,got,ROA,0.75,1.0,0.25
hard_5,guided_cot,ROA,0.75,1.0,0.25
hard_5,got,ROA,0.75,1.0,0.25
medium_4,cot,ROA,0.75,0.5,0.25
medium_4,guided_cot,ROA,0.5,0.75,0.25
medium_4,got,ROA,1.0,0.75,0.25
simple_1,tot,SCS,0.5,0.75,0.25
medium_1,tot,SCS,0.75,1.0,0.25
hard_1,cot,SCS,0.75,1.0,0.25
hard_1,tot,SCS,0.75,1.0,0.25
hard_1,got,SCS,0.75,0.5,0.25
medium_2,zero_shot,SCS,0.5,0.75,0.25
medium_2,cot,SCS,0.75,1.0,0.25
hard_2,zero_shot,SCS,0.75,1.0,0.25
hard_2,cot,SCS,0.75,1.0,0.25
hard_2,tot,SCS,0.75,1.0,0.25
hard_4,cot,SCS,0.5,0.25,0.25
hard_5,got,SCS,0.5,0.75,0.25
hard_1,cot,WQS,0.6625,0.9125,0.25
hard_5,zero_shot,WQS,0.5,0.25,0.25
simple_1,guided_cot,WR,1.0,0.75,0.25
simple_1,tot,WR,0.25,0.5,0.25
simple_1,got,WR,0.75,1.0,0.25
medium_1,tot,WR,0.25,0.5,0.25
hard_1,cot,WR,0.75,1.0,0.25
hard_1,guided_cot,WR,0.75,1.0,0.25
hard_1,got,WR,0.75,0.5,0.25
simple_2,tot,WR,0.75,1.0,0.25
medium_2,zero_shot,WR,0.25,0.0,0.25
medium_2,cot,WR,0.25,0.5,0.25
medium_2,guided_cot,WR,0.75,1.0,0.25
hard_2,guided_cot,WR,0.5,0.75,0.25
hard_2,got,WR,0.75,1.0,0.25
simple_3,cot,WR,0.75,1.0,0.25
simple_3,guided_cot,WR,0.75,1.0,0.25
medium_3,zero_shot,WR,0.25,0.0,0.25
hard_3,got,WR,0.75,1.0,0.25
simple_4,guided_cot,WR,0.75,0.5,0.25
simple_4,tot,WR,0.75,1.0,0.25
simple_4,got,WR,0.75,1.0,0.25
hard_4,guided_cot,WR,0.75,1.0,0.25
simple_5,guided_cot,WR,0.75,0.5,0.25
simple_5,tot,WR,0.5,0.75,0.25
simple_5,got,WR,0.75,1.0,0.25
hard_5,guided_cot,WR,0.75,1.0,0.25
medium_4,cot,WR,0.5,0.25,0.25
medium_4,got,WR,0.5,0.75,0.25
